especie,fecha,den,habitat,cota,mes,year,sp.abb
Emberiza cirlus,2014-05-08,0.52,robledal,1700,5,2014,Emb.cir
Emberiza cirlus,2015-06-30,1.03,robledal,1700,6,2015,Emb.cir
Erithacus rubecula,2008-05-13,0.52,robledal,1700,5,2008,Eri.rub
Erithacus rubecula,2008-05-20,0.52,robledal,1700,5,2008,Eri.rub
Erithacus rubecula,2008-06-05,0.52,robledal,1700,6,2008,Eri.rub
Erithacus rubecula,2010-07-22,0.52,robledal,1700,7,2010,Eri.rub
Erithacus rubecula,2011-05-06,1.03,robledal,1700,5,2011,Eri.rub
Erithacus rubecula,2012-05-07,0.52,robledal,1700,5,2012,Eri.rub
Erithacus rubecula,2012-06-14,0.52,robledal,1700,6,2012,Eri.rub
Erithacus rubecula,2013-05-13,1.03,robledal,1700,5,2013,Eri.rub
Erithacus rubecula,2014-05-08,2.07,robledal,1700,5,2014,Eri.rub
Erithacus rubecula,2014-06-24,1.55,robledal,1700,6,2014,Eri.rub
Erithacus rubecula,2014-07-24,0.52,robledal,1700,7,2014,Eri.rub
Erithacus rubecula,2015-05-20,3.1,robledal,1700,5,2015,Eri.rub
Erithacus rubecula,2015-07-29,0.52,robledal,1700,7,2015,Eri.rub
Erithacus rubecula,2018-05-22,0.52,robledal,1700,5,2018,Eri.rub
Erithacus rubecula,2018-06-26,2.07,robledal,1700,6,2018,Eri.rub
Fringilla coelebs,2008-05-13,6.21,robledal,1700,5,2008,Fri.coe
Fringilla coelebs,2008-05-20,4.14,robledal,1700,5,2008,Fri.coe
Fringilla coelebs,2008-06-05,12.42,robledal,1700,6,2008,Fri.coe
Fringilla coelebs,2008-06-16,4.14,robledal,1700,6,2008,Fri.coe
Fringilla coelebs,2008-07-02,4.66,robledal,1700,7,2008,Fri.coe
Fringilla coelebs,2009-05-13,3.62,robledal,1700,5,2009,Fri.coe
Fringilla coelebs,2009-06-15,1.03,robledal,1700,6,2009,Fri.coe
Fringilla coelebs,2009-07-22,1.55,robledal,1700,7,2009,Fri.coe
Fringilla coelebs,2010-05-10,10.87,robledal,1700,5,2010,Fri.coe
Fringilla coelebs,2010-06-09,17.59,robledal,1700,6,2010,Fri.coe
Fringilla coelebs,2010-07-22,2.59,robledal,1700,7,2010,Fri.coe
Fringilla coelebs,2011-05-06,6.21,robledal,1700,5,2011,Fri.coe
Fringilla coelebs,2011-06-20,6.21,robledal,1700,6,2011,Fri.coe
Fringilla coelebs,2011-07-27,1.55,robledal,1700,7,2011,Fri.coe
Fringilla coelebs,2012-05-07,1.55,robledal,1700,5,2012,Fri.coe
Fringilla coelebs,2012-06-14,6.21,robledal,1700,6,2012,Fri.coe
Fringilla coelebs,2012-07-20,5.17,robledal,1700,7,2012,Fri.coe
Fringilla coelebs,2013-05-13,13.45,robledal,1700,5,2013,Fri.coe
Fringilla coelebs,2013-06-07,7.76,robledal,1700,6,2013,Fri.coe
Fringilla coelebs,2013-07-17,3.62,robledal,1700,7,2013,Fri.coe
Fringilla coelebs,2014-05-08,1.55,robledal,1700,5,2014,Fri.coe
Fringilla coelebs,2014-06-24,5.17,robledal,1700,6,2014,Fri.coe
Fringilla coelebs,2015-05-20,5.69,robledal,1700,5,2015,Fri.coe
Fringilla coelebs,2015-06-30,5.69,robledal,1700,6,2015,Fri.coe
Fringilla coelebs,2015-07-29,5.69,robledal,1700,7,2015,Fri.coe
Fringilla coelebs,2018-05-22,4.14,robledal,1700,5,2018,Fri.coe
Fringilla coelebs,2018-06-22,0.6,enebral,2230,6,2018,Fri.coe
Fringilla coelebs,2018-06-26,7.24,robledal,1700,6,2018,Fri.coe
Fringilla coelebs,2018-07-30,8.28,robledal,1700,7,2018,Fri.coe
Galerida theklae,2008-05-05,4.82,enebral,2230,5,2008,Gal.the
Galerida theklae,2009-05-27,0.6,enebral,2230,5,2009,Gal.the
Galerida theklae,2009-07-02,2.41,enebral,2230,7,2009,Gal.the
Garrulus glandarius,2008-05-13,0.52,robledal,1700,5,2008,Gar.gla
Garrulus glandarius,2008-06-05,1.03,robledal,1700,6,2008,Gar.gla
Garrulus glandarius,2008-07-02,2.59,robledal,1700,7,2008,Gar.gla
Garrulus glandarius,2009-05-13,1.03,robledal,1700,5,2009,Gar.gla
Garrulus glandarius,2010-05-10,0.52,robledal,1700,5,2010,Gar.gla
Garrulus glandarius,2010-06-09,1.55,robledal,1700,6,2010,Gar.gla
Garrulus glandarius,2010-07-22,0.52,robledal,1700,7,2010,Gar.gla
Garrulus glandarius,2011-05-06,0.52,robledal,1700,5,2011,Gar.gla
Garrulus glandarius,2011-06-20,0.52,robledal,1700,6,2011,Gar.gla
Garrulus glandarius,2011-07-27,2.59,robledal,1700,7,2011,Gar.gla
Garrulus glandarius,2012-07-20,1.03,robledal,1700,7,2012,Gar.gla
Garrulus glandarius,2014-07-24,0.52,robledal,1700,7,2014,Gar.gla
Garrulus glandarius,2015-06-30,0.52,robledal,1700,6,2015,Gar.gla
Garrulus glandarius,2015-07-29,0.52,robledal,1700,7,2015,Gar.gla
Garrulus glandarius,2017-07-03,0.52,robledal,1700,7,2017,Gar.gla
Garrulus glandarius,2018-06-26,0.52,robledal,1700,6,2018,Gar.gla
Garrulus glandarius,2018-07-30,1.55,robledal,1700,7,2018,Gar.gla
Hippolais polyglotta,2010-07-22,0.52,robledal,1700,7,2010,Hip.pol
Hippolais polyglotta,2015-07-29,1.03,robledal,1700,7,2015,Hip.pol
Lophophanes cristatus,2009-06-15,0.52,robledal,1700,6,2009,Lop.cri
Lophophanes cristatus,2010-06-09,4.14,robledal,1700,6,2010,Lop.cri
Lophophanes cristatus,2013-05-13,1.03,robledal,1700,5,2013,Lop.cri
Lophophanes cristatus,2018-07-30,1.03,robledal,1700,7,2018,Lop.cri
Loxia curvirostra,2014-05-08,0.52,robledal,1700,5,2014,Lox.cur
Loxia curvirostra,2018-07-30,0.52,robledal,1700,7,2018,Lox.cur
Lullula arborea,2009-07-02,1.81,enebral,2230,7,2009,Lul.arb
Lullula arborea,2012-05-07,0.52,robledal,1700,5,2012,Lul.arb
Lullula arborea,2012-07-20,1.03,robledal,1700,7,2012,Lul.arb
Lullula arborea,2014-06-27,0.6,enebral,2230,6,2014,Lul.arb
Lullula arborea,2014-07-24,1.55,robledal,1700,7,2014,Lul.arb
Lullula arborea,2015-05-20,0.52,robledal,1700,5,2015,Lul.arb
Lullula arborea,2018-06-22,0.6,enebral,2230,6,2018,Lul.arb
Luscinia megarhynchos,2011-05-06,1.03,robledal,1700,5,2011,Lus.meg
Monticola saxatilis,2008-06-26,0.6,enebral,2230,6,2008,Mon.sax
Motacilla cinerea,2015-07-10,1.25,cumbres,3200,7,2015,Mot.cin
Oenanthe oenanthe,2008-05-05,4.22,enebral,2230,5,2008,Oen.oen
Oenanthe oenanthe,2008-05-15,3.01,enebral,2230,5,2008,Oen.oen
Oenanthe oenanthe,2008-06-03,7.23,enebral,2230,6,2008,Oen.oen
Oenanthe oenanthe,2008-06-13,2.41,enebral,2230,6,2008,Oen.oen
Oenanthe oenanthe,2008-06-26,2.41,enebral,2230,6,2008,Oen.oen
Oenanthe oenanthe,2008-07-04,6.63,enebral,2230,7,2008,Oen.oen
Oenanthe oenanthe,2008-07-15,0.62,cumbres,3200,7,2008,Oen.oen
Oenanthe oenanthe,2008-07-25,0.62,cumbres,3200,7,2008,Oen.oen
Oenanthe oenanthe,2009-05-27,2.41,enebral,2230,5,2009,Oen.oen
Oenanthe oenanthe,2009-07-02,5.42,enebral,2230,7,2009,Oen.oen
Oenanthe oenanthe,2009-07-10,1.87,cumbres,3200,7,2009,Oen.oen
Oenanthe oenanthe,2009-07-13,3.01,enebral,2230,7,2009,Oen.oen
Oenanthe oenanthe,2009-07-16,0.62,cumbres,3200,7,2009,Oen.oen
Oenanthe oenanthe,2010-05-27,5.42,enebral,2230,5,2010,Oen.oen
Oenanthe oenanthe,2010-06-08,3.01,enebral,2230,6,2010,Oen.oen
Oenanthe oenanthe,2010-07-07,3.62,enebral,2230,7,2010,Oen.oen
Oenanthe oenanthe,2011-05-27,5.42,enebral,2230,5,2011,Oen.oen
Oenanthe oenanthe,2011-06-14,0.6,enebral,2230,6,2011,Oen.oen
Oenanthe oenanthe,2011-07-08,3.62,enebral,2230,7,2011,Oen.oen
Oenanthe oenanthe,2012-05-30,3.62,enebral,2230,5,2012,Oen.oen
Oenanthe oenanthe,2012-06-12,0.6,enebral,2230,6,2012,Oen.oen
Oenanthe oenanthe,2012-06-14,4.37,cumbres,3200,6,2012,Oen.oen
Oenanthe oenanthe,2012-06-29,1.25,cumbres,3200,6,2012,Oen.oen
Oenanthe oenanthe,2012-07-27,1.25,cumbres,3200,7,2012,Oen.oen
Oenanthe oenanthe,2012-07-30,4.22,enebral,2230,7,2012,Oen.oen
Oenanthe oenanthe,2013-07-01,1.21,enebral,2230,7,2013,Oen.oen
Oenanthe oenanthe,2014-07-16,0.62,cumbres,3200,7,2014,Oen.oen
Oenanthe oenanthe,2015-06-25,3.01,enebral,2230,6,2015,Oen.oen
Oenanthe oenanthe,2015-06-29,1.25,cumbres,3200,6,2015,Oen.oen
Oenanthe oenanthe,2015-07-10,3.12,cumbres,3200,7,2015,Oen.oen
Oenanthe oenanthe,2016-06-22,1.21,enebral,2230,6,2016,Oen.oen
Oenanthe oenanthe,2016-06-30,0.62,cumbres,3200,6,2016,Oen.oen
Oenanthe oenanthe,2016-07-12,0.62,cumbres,3200,7,2016,Oen.oen
Oenanthe oenanthe,2017-05-26,0.62,cumbres,3200,5,2017,Oen.oen
Oenanthe oenanthe,2017-05-30,2.41,enebral,2230,5,2017,Oen.oen
Oenanthe oenanthe,2017-06-22,1.25,cumbres,3200,6,2017,Oen.oen
Oenanthe oenanthe,2017-06-26,0.6,enebral,2230,6,2017,Oen.oen
Oenanthe oenanthe,2017-07-30,0.6,enebral,2230,7,2017,Oen.oen
Oenanthe oenanthe,2018-05-31,0.6,enebral,2230,5,2018,Oen.oen
Oenanthe oenanthe,2018-06-22,1.21,enebral,2230,6,2018,Oen.oen
Oenanthe oenanthe,2018-07-31,1.25,cumbres,3200,7,2018,Oen.oen
Oriolus oriolus,2018-07-30,0.52,robledal,1700,7,2018,Ori.ori
Parus major,2008-05-13,2.07,robledal,1700,5,2008,Par.maj
Parus major,2008-05-20,0.52,robledal,1700,5,2008,Par.maj
Parus major,2008-06-05,1.03,robledal,1700,6,2008,Par.maj
Parus major,2009-05-13,1.03,robledal,1700,5,2009,Par.maj
Parus major,2010-05-10,0.52,robledal,1700,5,2010,Par.maj
Parus major,2010-06-09,2.07,robledal,1700,6,2010,Par.maj
Parus major,2011-06-20,3.62,robledal,1700,6,2011,Par.maj
Parus major,2011-07-27,2.59,robledal,1700,7,2011,Par.maj
Parus major,2012-06-14,0.52,robledal,1700,6,2012,Par.maj
Parus major,2013-05-13,3.62,robledal,1700,5,2013,Par.maj
Parus major,2014-05-08,5.69,robledal,1700,5,2014,Par.maj
Parus major,2014-06-24,0.52,robledal,1700,6,2014,Par.maj
Parus major,2014-07-24,1.03,robledal,1700,7,2014,Par.maj
Parus major,2015-05-20,2.59,robledal,1700,5,2015,Par.maj
Parus major,2018-05-22,1.03,robledal,1700,5,2018,Par.maj
Parus major,2018-06-26,3.62,robledal,1700,6,2018,Par.maj
Parus major,2018-07-30,1.03,robledal,1700,7,2018,Par.maj
Periparus ater,2008-06-05,1.03,robledal,1700,6,2008,Per.ate
Periparus ater,2008-06-16,2.07,robledal,1700,6,2008,Per.ate
Periparus ater,2008-07-02,5.69,robledal,1700,7,2008,Per.ate
Periparus ater,2009-05-13,2.07,robledal,1700,5,2009,Per.ate
Periparus ater,2012-05-07,2.59,robledal,1700,5,2012,Per.ate
Periparus ater,2012-06-14,1.55,robledal,1700,6,2012,Per.ate
Periparus ater,2013-05-13,3.62,robledal,1700,5,2013,Per.ate
Periparus ater,2013-06-07,1.55,robledal,1700,6,2013,Per.ate
Periparus ater,2013-07-17,3.1,robledal,1700,7,2013,Per.ate
Periparus ater,2014-07-24,0.52,robledal,1700,7,2014,Per.ate
Periparus ater,2015-06-30,0.52,robledal,1700,6,2015,Per.ate
Periparus ater,2018-06-22,0.6,enebral,2230,6,2018,Per.ate
Periparus ater,2018-07-30,0.52,robledal,1700,7,2018,Per.ate
Phoenicurus ochruros,2008-05-05,1.21,enebral,2230,5,2008,Pho.och
Phoenicurus ochruros,2008-05-13,0.52,robledal,1700,5,2008,Pho.och
Phoenicurus ochruros,2008-06-03,0.6,enebral,2230,6,2008,Pho.och
Phoenicurus ochruros,2008-06-13,1.81,enebral,2230,6,2008,Pho.och
Phoenicurus ochruros,2008-06-16,0.52,robledal,1700,6,2008,Pho.och
Phoenicurus ochruros,2008-06-26,1.81,enebral,2230,6,2008,Pho.och
Phoenicurus ochruros,2008-07-04,0.6,enebral,2230,7,2008,Pho.och
Phoenicurus ochruros,2008-07-15,1.87,cumbres,3200,7,2008,Pho.och
Phoenicurus ochruros,2008-07-18,1.25,cumbres,3200,7,2008,Pho.och
Phoenicurus ochruros,2008-07-25,1.87,cumbres,3200,7,2008,Pho.och
Phoenicurus ochruros,2009-05-13,0.52,robledal,1700,5,2009,Pho.och
Phoenicurus ochruros,2009-05-27,1.21,enebral,2230,5,2009,Pho.och
Phoenicurus ochruros,2009-06-15,1.03,robledal,1700,6,2009,Pho.och
Phoenicurus ochruros,2009-07-02,2.41,enebral,2230,7,2009,Pho.och
Phoenicurus ochruros,2009-07-10,0.62,cumbres,3200,7,2009,Pho.och
Phoenicurus ochruros,2009-07-16,0.62,cumbres,3200,7,2009,Pho.och
Phoenicurus ochruros,2010-05-10,2.07,robledal,1700,5,2010,Pho.och
Phoenicurus ochruros,2010-05-27,0.6,enebral,2230,5,2010,Pho.och
Phoenicurus ochruros,2010-06-08,0.6,enebral,2230,6,2010,Pho.och
Phoenicurus ochruros,2010-06-09,1.03,robledal,1700,6,2010,Pho.och
Phoenicurus ochruros,2011-05-06,1.03,robledal,1700,5,2011,Pho.och
Phoenicurus ochruros,2011-05-27,1.21,enebral,2230,5,2011,Pho.och
Phoenicurus ochruros,2011-06-14,1.21,enebral,2230,6,2011,Pho.och
Phoenicurus ochruros,2011-07-08,0.6,enebral,2230,7,2011,Pho.och
Phoenicurus ochruros,2012-05-07,1.55,robledal,1700,5,2012,Pho.och
Phoenicurus ochruros,2012-05-30,0.6,enebral,2230,5,2012,Pho.och
Phoenicurus ochruros,2012-06-14,1.87,cumbres,3200,6,2012,Pho.och
Phoenicurus ochruros,2012-06-27,0.62,cumbres,3200,6,2012,Pho.och
Phoenicurus ochruros,2012-06-29,0.62,cumbres,3200,6,2012,Pho.och
Phoenicurus ochruros,2012-07-27,1.25,cumbres,3200,7,2012,Pho.och
Phoenicurus ochruros,2013-07-01,1.21,enebral,2230,7,2013,Pho.och
Phoenicurus ochruros,2013-07-29,0.62,cumbres,3200,7,2013,Pho.och
Phoenicurus ochruros,2014-06-27,0.6,enebral,2230,6,2014,Pho.och
Phoenicurus ochruros,2014-07-08,1.21,enebral,2230,7,2014,Pho.och
Phoenicurus ochruros,2015-06-29,0.62,cumbres,3200,6,2015,Pho.och
Phoenicurus ochruros,2015-07-10,4.99,cumbres,3200,7,2015,Pho.och
Phoenicurus ochruros,2016-05-31,1.21,enebral,2230,5,2016,Pho.och
Phoenicurus ochruros,2016-06-30,1.25,cumbres,3200,6,2016,Pho.och
Phoenicurus ochruros,2016-07-12,2.5,cumbres,3200,7,2016,Pho.och
Phoenicurus ochruros,2017-05-26,2.5,cumbres,3200,5,2017,Pho.och
Phoenicurus ochruros,2017-06-22,1.87,cumbres,3200,6,2017,Pho.och
Phoenicurus ochruros,2017-07-13,0.62,cumbres,3200,7,2017,Pho.och
Phoenicurus ochruros,2017-07-30,0.6,enebral,2230,7,2017,Pho.och
Phoenicurus ochruros,2018-07-31,0.62,cumbres,3200,7,2018,Pho.och
Phylloscopus bonelli,2010-05-10,1.55,robledal,1700,5,2010,Phy.bon
Phylloscopus bonelli,2010-07-22,1.03,robledal,1700,7,2010,Phy.bon
Phylloscopus bonelli,2011-05-06,7.24,robledal,1700,5,2011,Phy.bon
Phylloscopus bonelli,2011-06-20,1.55,robledal,1700,6,2011,Phy.bon
Phylloscopus bonelli,2011-07-27,1.55,robledal,1700,7,2011,Phy.bon
Phylloscopus bonelli,2012-05-07,2.07,robledal,1700,5,2012,Phy.bon
Phylloscopus bonelli,2012-06-14,0.52,robledal,1700,6,2012,Phy.bon
Phylloscopus bonelli,2012-07-20,3.1,robledal,1700,7,2012,Phy.bon
Phylloscopus bonelli,2013-05-13,4.66,robledal,1700,5,2013,Phy.bon
Phylloscopus bonelli,2013-06-07,3.1,robledal,1700,6,2013,Phy.bon
Phylloscopus bonelli,2013-07-17,7.24,robledal,1700,7,2013,Phy.bon
Phylloscopus bonelli,2014-05-08,3.1,robledal,1700,5,2014,Phy.bon
Phylloscopus bonelli,2014-07-24,3.62,robledal,1700,7,2014,Phy.bon
Phylloscopus bonelli,2015-05-20,2.59,robledal,1700,5,2015,Phy.bon
Phylloscopus bonelli,2015-06-30,1.55,robledal,1700,6,2015,Phy.bon
Phylloscopus bonelli,2017-07-03,1.03,robledal,1700,7,2017,Phy.bon
Phylloscopus bonelli,2018-06-26,4.14,robledal,1700,6,2018,Phy.bon
Phylloscopus bonelli,2018-07-30,2.07,robledal,1700,7,2018,Phy.bon
Phylloscopus ibericus,2009-05-27,1.21,enebral,2230,5,2009,Phy.ibe
Phylloscopus ibericus,2012-07-27,0.62,cumbres,3200,7,2012,Phy.ibe
Phylloscopus ibericus,2014-06-27,0.6,enebral,2230,6,2014,Phy.ibe
Phylloscopus ibericus,2016-07-12,0.62,cumbres,3200,7,2016,Phy.ibe
Pica pica,2011-07-27,0.52,robledal,1700,7,2011,Pic.pic
Pica pica,2012-07-20,0.52,robledal,1700,7,2012,Pic.pic
Picus viridis,2014-07-24,0.52,robledal,1700,7,2014,Pic.vir
Picus viridis,2015-07-29,0.52,robledal,1700,7,2015,Pic.vir
Picus viridis,2018-05-22,0.52,robledal,1700,5,2018,Pic.vir
Picus viridis,2018-07-30,1.03,robledal,1700,7,2018,Pic.vir
Prunella collaris,2008-07-18,1.25,cumbres,3200,7,2008,Pru.col
Prunella collaris,2008-07-30,0.62,cumbres,3200,7,2008,Pru.col
Prunella collaris,2009-07-10,0.62,cumbres,3200,7,2009,Pru.col
Prunella collaris,2012-06-14,3.12,cumbres,3200,6,2012,Pru.col
Prunella collaris,2012-06-27,3.74,cumbres,3200,6,2012,Pru.col
Prunella collaris,2012-06-29,0.62,cumbres,3200,6,2012,Pru.col
Prunella collaris,2012-07-10,0.62,cumbres,3200,7,2012,Pru.col
Prunella collaris,2012-07-23,4.37,cumbres,3200,7,2012,Pru.col
Prunella collaris,2012-07-27,1.87,cumbres,3200,7,2012,Pru.col
Prunella collaris,2012-07-30,1.21,enebral,2230,7,2012,Pru.col
Prunella collaris,2014-06-30,1.87,cumbres,3200,6,2014,Pru.col
Prunella collaris,2014-07-16,1.25,cumbres,3200,7,2014,Pru.col
Prunella collaris,2015-06-29,1.87,cumbres,3200,6,2015,Pru.col
Prunella collaris,2015-07-31,0.6,enebral,2230,7,2015,Pru.col
Prunella collaris,2016-06-30,3.12,cumbres,3200,6,2016,Pru.col
Prunella collaris,2016-07-12,0.62,cumbres,3200,7,2016,Pru.col
Prunella collaris,2017-05-26,1.87,cumbres,3200,5,2017,Pru.col
Prunella collaris,2017-06-22,1.87,cumbres,3200,6,2017,Pru.col
Prunella collaris,2017-06-26,0.6,enebral,2230,6,2017,Pru.col
Prunella collaris,2018-05-31,0.6,enebral,2230,5,2018,Pru.col
Prunella collaris,2018-07-31,2.5,cumbres,3200,7,2018,Pru.col
Prunella modularis,2008-07-04,0.6,enebral,2230,7,2008,Pru.mod
Prunella modularis,2008-07-15,0.62,cumbres,3200,7,2008,Pru.mod
Prunella modularis,2010-05-27,0.6,enebral,2230,5,2010,Pru.mod
Prunella modularis,2015-07-31,0.6,enebral,2230,7,2015,Pru.mod
Regulus ignicapillus,2010-05-10,1.55,robledal,1700,5,2010,Reg.ign
Regulus ignicapillus,2011-05-06,1.55,robledal,1700,5,2011,Reg.ign
Regulus ignicapillus,2011-06-20,1.55,robledal,1700,6,2011,Reg.ign
Regulus ignicapillus,2012-05-07,0.52,robledal,1700,5,2012,Reg.ign
Regulus ignicapillus,2012-06-14,0.52,robledal,1700,6,2012,Reg.ign
Regulus ignicapillus,2013-05-13,2.07,robledal,1700,5,2013,Reg.ign
Regulus ignicapillus,2013-06-07,0.52,robledal,1700,6,2013,Reg.ign
Regulus ignicapillus,2013-07-17,0.52,robledal,1700,7,2013,Reg.ign
Regulus ignicapillus,2014-05-08,1.03,robledal,1700,5,2014,Reg.ign
Regulus ignicapillus,2014-07-24,0.52,robledal,1700,7,2014,Reg.ign
Regulus ignicapillus,2015-05-20,1.03,robledal,1700,5,2015,Reg.ign
Regulus ignicapillus,2015-06-30,2.07,robledal,1700,6,2015,Reg.ign
Regulus ignicapillus,2015-07-29,0.52,robledal,1700,7,2015,Reg.ign
Regulus ignicapillus,2017-07-03,1.03,robledal,1700,7,2017,Reg.ign
Regulus ignicapillus,2018-05-22,2.07,robledal,1700,5,2018,Reg.ign
Regulus ignicapillus,2018-06-26,0.52,robledal,1700,6,2018,Reg.ign
Saxicola rubetra,2017-07-30,4.82,enebral,2230,7,2017,Sax.rub
Saxicola rubetra,2018-05-22,0.52,robledal,1700,5,2018,Sax.rub
Saxicola rubetra,2018-05-31,0.6,enebral,2230,5,2018,Sax.rub
Saxicola rubetra,2018-06-22,2.41,enebral,2230,6,2018,Sax.rub
Saxicola rubetra,2018-07-26,0.6,enebral,2230,7,2018,Sax.rub
Saxicola rubetra,2018-07-30,2.59,robledal,1700,7,2018,Sax.rub
Saxicola rubicola,2008-05-05,0.6,enebral,2230,5,2008,Sax.rub
Saxicola rubicola,2008-07-02,1.03,robledal,1700,7,2008,Sax.rub
Saxicola rubicola,2009-05-27,1.21,enebral,2230,5,2009,Sax.rub
Saxicola rubicola,2011-05-06,1.03,robledal,1700,5,2011,Sax.rub
Saxicola rubicola,2011-07-08,1.21,enebral,2230,7,2011,Sax.rub
Saxicola rubicola,2012-07-30,1.21,enebral,2230,7,2012,Sax.rub
Saxicola rubicola,2013-05-13,0.52,robledal,1700,5,2013,Sax.rub
Saxicola rubicola,2014-06-24,0.52,robledal,1700,6,2014,Sax.rub
Saxicola rubicola,2014-06-27,0.6,enebral,2230,6,2014,Sax.rub
Saxicola rubicola,2014-07-08,1.81,enebral,2230,7,2014,Sax.rub
Saxicola rubicola,2015-06-25,1.81,enebral,2230,6,2015,Sax.rub
Saxicola rubicola,2016-05-31,0.6,enebral,2230,5,2016,Sax.rub
Saxicola rubicola,2016-06-22,0.6,enebral,2230,6,2016,Sax.rub
Saxicola rubicola,2016-07-26,1.81,enebral,2230,7,2016,Sax.rub
Saxicola rubicola,2017-07-03,0.52,robledal,1700,7,2017,Sax.rub
Serinus serinus,2008-05-13,0.52,robledal,1700,5,2008,Ser.ser
Serinus serinus,2008-05-20,3.1,robledal,1700,5,2008,Ser.ser
Serinus serinus,2008-06-05,2.59,robledal,1700,6,2008,Ser.ser
Serinus serinus,2008-07-02,0.52,robledal,1700,7,2008,Ser.ser
Serinus serinus,2010-07-22,2.07,robledal,1700,7,2010,Ser.ser
Serinus serinus,2011-05-06,2.07,robledal,1700,5,2011,Ser.ser
Serinus serinus,2012-05-07,0.52,robledal,1700,5,2012,Ser.ser
Serinus serinus,2012-06-14,0.52,robledal,1700,6,2012,Ser.ser
Serinus serinus,2013-06-07,2.07,robledal,1700,6,2013,Ser.ser
Serinus serinus,2015-05-20,0.52,robledal,1700,5,2015,Ser.ser
Serinus serinus,2015-06-30,0.52,robledal,1700,6,2015,Ser.ser
Serinus serinus,2015-07-29,1.03,robledal,1700,7,2015,Ser.ser
Serinus serinus,2015-07-31,5.42,enebral,2230,7,2015,Ser.ser
Sitta europaea,2010-05-10,0.52,robledal,1700,5,2010,Sit.eur
Sitta europaea,2011-06-20,1.03,robledal,1700,6,2011,Sit.eur
Sitta europaea,2012-06-14,0.52,robledal,1700,6,2012,Sit.eur
Sitta europaea,2015-06-30,0.52,robledal,1700,6,2015,Sit.eur
Sitta europaea,2015-07-29,1.55,robledal,1700,7,2015,Sit.eur
Sitta europaea,2018-07-30,1.03,robledal,1700,7,2018,Sit.eur
Sylvia atricapilla,2012-05-07,0.52,robledal,1700,5,2012,Syl.atr
Sylvia atricapilla,2013-05-13,0.52,robledal,1700,5,2013,Syl.atr
Sylvia atricapilla,2014-05-08,0.52,robledal,1700,5,2014,Syl.atr
Sylvia atricapilla,2015-05-20,2.07,robledal,1700,5,2015,Syl.atr
Sylvia atricapilla,2015-06-30,1.03,robledal,1700,6,2015,Syl.atr
Sylvia atricapilla,2015-07-29,0.52,robledal,1700,7,2015,Syl.atr
Sylvia atricapilla,2018-06-26,1.03,robledal,1700,6,2018,Syl.atr
Sylvia cantillans,2010-05-10,0.52,robledal,1700,5,2010,Syl.can
Sylvia cantillans,2010-06-09,0.52,robledal,1700,6,2010,Syl.can
Sylvia cantillans,2011-05-06,1.03,robledal,1700,5,2011,Syl.can
Sylvia cantillans,2011-06-20,0.52,robledal,1700,6,2011,Syl.can
Sylvia cantillans,2012-05-07,1.03,robledal,1700,5,2012,Syl.can
Sylvia cantillans,2013-05-13,1.03,robledal,1700,5,2013,Syl.can
Sylvia cantillans,2014-05-08,0.52,robledal,1700,5,2014,Syl.can
Sylvia cantillans,2015-05-20,3.1,robledal,1700,5,2015,Syl.can
Sylvia cantillans,2018-05-22,0.52,robledal,1700,5,2018,Syl.can
Sylvia cantillans,2018-06-26,0.52,robledal,1700,6,2018,Syl.can
Sylvia cantillans,2018-07-30,1.55,robledal,1700,7,2018,Syl.can
Sylvia conspicillata,2011-07-08,0.6,enebral,2230,7,2011,Syl.con
Sylvia conspicillata,2012-05-30,1.81,enebral,2230,5,2012,Syl.con
Sylvia conspicillata,2013-06-18,0.6,enebral,2230,6,2013,Syl.con
Sylvia conspicillata,2014-06-24,0.52,robledal,1700,6,2014,Syl.con
Sylvia conspicillata,2014-07-08,0.6,enebral,2230,7,2014,Syl.con
Sylvia conspicillata,2015-05-29,0.6,enebral,2230,5,2015,Syl.con
Sylvia conspicillata,2015-06-25,3.62,enebral,2230,6,2015,Syl.con
Sylvia conspicillata,2015-07-31,1.21,enebral,2230,7,2015,Syl.con
Sylvia conspicillata,2016-05-31,2.41,enebral,2230,5,2016,Syl.con
Sylvia conspicillata,2016-06-22,3.01,enebral,2230,6,2016,Syl.con
Sylvia conspicillata,2017-06-26,0.6,enebral,2230,6,2017,Syl.con
Sylvia conspicillata,2018-05-31,0.6,enebral,2230,5,2018,Syl.con
Sylvia conspicillata,2018-06-22,1.21,enebral,2230,6,2018,Syl.con
Sylvia conspicillata,2018-07-30,0.52,robledal,1700,7,2018,Syl.con
Sylvia melanocephala,2018-05-22,0.52,robledal,1700,5,2018,Syl.mel
Sylvia undata,2011-05-06,0.52,robledal,1700,5,2011,Syl.und
Sylvia undata,2012-06-14,0.52,robledal,1700,6,2012,Syl.und
Troglodytes troglodytes,2010-06-08,1.21,enebral,2230,6,2010,Tro.tro
Troglodytes troglodytes,2010-06-09,0.52,robledal,1700,6,2010,Tro.tro
Troglodytes troglodytes,2010-07-07,1.21,enebral,2230,7,2010,Tro.tro
Troglodytes troglodytes,2010-07-22,0.52,robledal,1700,7,2010,Tro.tro
Troglodytes troglodytes,2011-05-06,1.55,robledal,1700,5,2011,Tro.tro
Troglodytes troglodytes,2011-05-27,1.81,enebral,2230,5,2011,Tro.tro
